Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Costa Rica,CRI,Arable land (hectares),AG.LND.ARBL.HA,,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,283000,283000,283000,283000,283000,283000,283000,283000,283000,283000,283000,283000,285000,285000,285000,280000,260000,260000,260000,250000,230000,230000,220000,210000,210000,210000,220000,210000,210000,200000,210000,210000,210000,210000,200000,200000,220000,225000,232000,232000,232000,232100.0061,251000,247500,,,
Caribbean small states,CSS,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Arable land (hectares),AG.LND.ARBL.HA,,1450000,1505000,1592000,1762000,1620000,1551000,1693000,1947000,1943000,2310000,2277000,2610000,2784000,2636000,2870000,3027000,3031000,3036000,2979000,2980000,3000000,3050000,3100000,3107000,3168000,3250000,3330000,3380000,3401000,3391000,3435000,3575000,3630000,3686000,3684000,3485000,3628000,3574000,3610000,3504000,3739000,3798000,3752000,3706000,3672000,3634000,3573000,3508600.098,3446000,3384000,3321199.951,3134899.902,3156399.902,3088000,3013699.951,2989399.902,,,
Curacao,CUW,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Arable land (hectares),AG.LND.ARBL.HA,,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,200.000003,,,
Cyprus,CYP,Arable land (hectares),AG.LND.ARBL.HA,,329000,327000,325000,323000,322000,320000,318000,316000,314000,313000,311000,309000,307000,212000,116400.0015,114000,112000,110000,108000,107199.9969,110400.0015,115000,116000,115000,102800.0031,103199.9969,103400.0015,103400.0015,104400.0015,105599.9985,106199.9969,107599.9985,108699.9969,99400.00153,99099.99847,99000,98099.99847,100099.9985,101099.9985,98400.00153,98000,100000,112000,113000,123000,115000,109800.0031,82400.00153,86900.00153,82599.99847,84000,85800.00305,79730.00336,80180.00031,99209.99908,84629.99725,,,
Czech Republic,CZE,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332000,3317000,3301000,3257000,3250000,3261000,3256000,3243000,3236000,3229000,3223000,3216000,3209000,3202000,3195000,3188000,3180000,3171000,3164000,3157000,2501000,2489000,2493000,2494000,,,
Germany,DEU,Arable land (hectares),AG.LND.ARBL.HA,,12220000,12185000,12165000,12161000,12153000,12155000,12049000,12032000,12001000,11952000,11965000,12004000,11990000,12020000,12041000,12087000,12071000,12086000,12057000,12030000,12004000,11975000,11967000,11952000,11957000,11960000,11945000,11948000,11949000,11971000,11559000,11467000,11676000,11805000,11835000,11835000,11832000,11879000,11822000,11804000,11813000,11791000,11827000,11898000,11904000,11866000,11877000,11932000,11945000,11846000,11875000,11834000,11876000,11871000,11849000,11763000,,,
Djibouti,DJI,Arable land (hectares),AG.LND.ARBL.HA,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1299.999952,1500,1200.000048,1299.999952,1600.000024,2000,2000,2000,2000,2000,2000,,,
Dominica,DMA,Arable land (hectares),AG.LND.ARBL.HA,,7000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,6000,6000,6000,6000,6000,6000,5000,5000,5000,4000,4000,4000,4000,3000,3000,3000,3000,4000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,6000,6000,,,
